id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,234700,378,103,817,728,510.0,403.96875,1.0331616401672363,0.987765908241272,0,0,1920,834
1,196134,735,114,501,548,1110.0,325.78125,1.0304940938949585,0.9687646627426147,0,0,1920,834
2,197511,505,113,730,549,1170.0,560.34375,1.0053436756134033,0.9898402690887451,0,0,1920,834
3,154308,497,0,1164,276,1290.0,195.46875,0.998549222946167,0.9796106815338135,0,0,1920,834
4,13344,888,419,189,94,930.0,430.03125,0.9977713227272034,0.9761024117469788,0,0,1920,834
5,48671,0,701,391,132,90.0,716.71875,0.9952000379562378,0.9703999161720276,0,0,1920,834
6,339585,689,411,1230,419,1230.0,482.15625,0.9934661388397217,0.960381805896759,0,0,1920,834
7,4561,193,369,72,79,210.0,430.03125,0.9914183616638184,0.9856365323066711,0,0,1920,834
8,216574,1215,0,704,412,1530.0,403.96875,0.9911144375801086,0.9683513045310974,0,0,1920,834
9,31543,686,424,238,319,690.0,534.28125,0.9820343852043152,0.9776851534843445,0,0,1920,834
10,7091,914,318,145,76,930.0,351.84375,0.9812342524528503,0.9826815724372864,0,0,1920,834
11,128105,780,213,403,407,810.0,430.03125,0.971276044845581,0.9594299793243408,0,0,1920,834
12,18386,1768,208,151,195,1770.0,377.90625,0.9665853977203369,0.9611712694168091,0,0,1920,834
13,51251,493,0,555,157,810.0,117.28125,0.9654088616371155,0.9691361784934998,0,0,1920,834
14,155208,0,445,905,385,390.0,664.59375,0.9616364240646362,0.9796409010887146,0,0,1920,834
15,3811,1841,0,78,57,1890.0,39.09375,0.9584574103355408,0.9654639363288879,0,0,1920,834
16,3788,312,383,74,67,330.0,403.96875,0.9531340599060059,0.9780334830284119,0,0,1920,834
17,13484,1023,0,142,141,1050.0,117.28125,0.9503311514854431,0.9676101803779602,0,0,1920,834
18,491254,0,412,1919,417,1770.0,664.59375,0.9477896690368652,0.9671918153762817,0,0,1920,834
19,200278,625,106,610,695,750.0,325.78125,0.9458167552947998,0.9532188773155212,0,0,1920,834
20,44198,355,0,349,273,630.0,195.46875,0.9450517296791077,0.9549368023872375,0,0,1920,834
21,4034,887,350,97,70,930.0,403.96875,0.9446443319320679,0.9745659232139587,0,0,1920,834
22,3637,98,247,65,68,150.0,273.65625,0.9400331974029541,0.9667837023735046,0,0,1920,834
23,415665,0,0,705,828,330.0,39.09375,0.9385582208633423,0.9791430234909058,0,0,1920,834
24,527,1100,400,22,25,1110.0,403.96875,0.9353175759315491,0.9813084006309509,0,0,1920,834
25,532,1095,277,25,25,1110.0,273.65625,0.9317205548286438,0.9776119589805603,0,0,1920,834
26,576,853,539,26,27,870.0,560.34375,0.9268624782562256,0.9810996651649475,0,0,1920,834
27,101316,1015,0,631,270,1230.0,195.46875,0.9263536930084229,0.9640299081802368,0,0,1920,834
28,102789,0,446,475,254,270.0,586.40625,0.9260766506195068,0.955572247505188,0,0,1920,834
29,102760,0,446,875,254,210.0,612.46875,0.9256162643432617,0.9557718634605408,0,0,1920,834
30,260389,0,0,704,452,270.0,430.03125,0.9149044752120972,0.9735009670257568,0,0,1920,834
31,16811,1351,187,222,145,1410.0,299.71875,0.9093772768974304,0.9600372910499573,0,0,1920,834
32,155196,0,446,474,384,90.0,794.90625,0.9066380262374878,0.9748831987380981,0,0,1920,834
33,31544,686,414,511,329,750.0,508.21875,0.8974393010139465,0.9690432548522949,0,0,1920,834
34,3844,969,362,109,57,1050.0,403.96875,0.8964939117431641,0.9532044529914856,0,0,1920,834
35,666,1097,434,22,36,1110.0,456.09375,0.8824558258056641,0.9792592525482178,0,0,1920,834
