id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,163020,0,0,649,335,111.71875,98.921875,1.0262597799301147,0.9728184342384338,0,0,650,487
1,47953,0,325,649,160,233.59375,388.078125,1.0143643617630005,0.9710198640823364,0,0,650,487
2,13011,315,101,179,145,436.71875,220.671875,1.0142406225204468,0.9909695982933044,0,0,650,487
3,163229,0,1,649,482,152.34375,220.671875,1.007590651512146,0.9631151556968689,0,0,650,487
4,6257,381,352,73,133,396.09375,433.734375,0.999948263168335,0.9682340025901794,0,0,650,487
5,1274,0,436,30,50,30.46875,479.390625,0.9971125721931458,0.984362781047821,0,0,650,487
6,27138,307,323,277,162,375.78125,418.515625,0.9955174922943115,0.9751729369163513,0,0,650,487
7,17322,258,162,233,323,477.34375,311.984375,0.9914915561676025,0.9617260098457336,0,0,650,487
8,43522,0,334,382,151,213.28125,418.515625,0.9910824298858643,0.9509749412536621,0,0,650,487
9,15211,442,323,142,162,497.65625,403.296875,0.9875236749649048,0.982125461101532,0,0,650,487
10,16490,394,303,255,182,578.90625,464.171875,0.9874770641326904,0.9704124331474304,0,0,650,487
11,48085,0,255,649,230,111.71875,372.859375,0.9868687987327576,0.9555911421775818,0,0,650,487
12,1930,343,135,133,93,436.71875,205.453125,0.9845240712165833,0.9769585132598877,0,0,650,487
13,2018,269,438,61,47,274.21875,448.953125,0.9824153184890747,0.9746711850166321,0,0,650,487
14,9361,170,188,148,100,274.21875,266.328125,0.9799405336380005,0.9817989468574524,0,0,650,487
15,12943,170,188,148,258,294.53125,266.328125,0.9792091846466064,0.9694436192512512,0,0,650,487
16,13114,0,0,345,46,10.15625,38.046875,0.9763867259025574,0.9603405594825745,0,0,650,487
17,3941,482,257,167,28,517.96875,281.546875,0.9719029664993286,0.9713639616966248,0,0,650,487
18,349,533,160,35,11,558.59375,159.796875,0.9698920249938965,0.980169951915741,0,0,650,487
19,1635,287,351,22,96,294.53125,372.859375,0.9695766568183899,0.9669867753982544,0,0,650,487
20,1231,584,19,65,28,619.53125,38.046875,0.969568133354187,0.9727563858032227,0,0,650,487
21,2078,325,432,63,54,355.46875,448.953125,0.9676598310470581,0.9504483342170715,0,0,650,487
22,2062,502,280,88,37,558.59375,311.984375,0.9626601338386536,0.9641833901405334,0,0,650,487
23,1284,62,55,50,46,111.71875,98.921875,0.9597393274307251,0.9707241654396057,0,0,650,487
24,3612,280,289,39,158,314.84375,342.421875,0.9576191902160645,0.9631952047348022,0,0,650,487
25,1091,211,212,20,54,213.28125,235.890625,0.956969141960144,0.9764492511749268,0,0,650,487
26,2895,320,328,67,73,355.46875,372.859375,0.95626300573349,0.9577417373657227,0,0,650,487
27,4499,268,188,50,100,274.21875,205.453125,0.9521238803863525,0.9734765291213989,0,0,650,487
28,952,394,321,23,78,416.40625,342.421875,0.9496522545814514,0.9638803005218506,0,0,650,487
29,2744,410,214,98,89,497.65625,296.765625,0.9493197798728943,0.9677996635437012,0,0,650,487
30,3290,350,174,157,129,416.40625,220.671875,0.9491410255432129,0.9619160890579224,0,0,650,487
31,9394,170,188,148,151,192.96875,220.671875,0.9485043287277222,0.963596761226654,0,0,650,487
32,4922,170,208,101,61,192.96875,251.109375,0.9471484422683716,0.9741275310516357,0,0,650,487
33,2635,577,324,72,73,599.21875,327.203125,0.9413309097290039,0.972679615020752,0,0,650,487
34,1684,170,208,41,61,192.96875,235.890625,0.9376906156539917,0.9729888439178467,0,0,650,487
35,550,349,173,35,31,375.78125,190.234375,0.9374142289161682,0.9748201370239258,0,0,650,487
36,1586,281,290,36,61,314.84375,327.203125,0.9353203177452087,0.95030677318573,0,0,650,487
37,1295,80,294,66,40,132.03125,311.984375,0.9331502318382263,0.959909200668335,0,0,650,487
38,531,288,322,23,29,294.53125,327.203125,0.9313464164733887,0.9740259647369385,0,0,650,487
39,2663,323,324,326,73,639.84375,388.078125,0.9281455278396606,0.9550603032112122,0,0,650,487
40,842,616,356,33,41,639.84375,388.078125,0.927599310874939,0.9604191184043884,0,0,650,487
41,1695,577,323,72,30,599.21875,327.203125,0.9099410772323608,0.9530624151229858,0,0,650,487
42,76774,259,101,390,384,457.03125,266.328125,0.8999326825141907,0.9505816102027893,0,0,650,487
43,42,253,231,4,8,253.90625,235.890625,0.8959583640098572,1.0,0,0,650,487
44,519,325,277,59,13,375.78125,281.546875,0.8918513655662537,0.9510357975959778,0,0,650,487
